period,temperature,hours before sunrise,hours before sunset,demand
1,8.4,6.016666667,17.63333333,496
2,8.1,5.516666667,17.13333333,535
3,7.8,5.016666667,16.63333333,511
4,7.5,4.516666667,16.13333333,496
5,7.3,4.016666667,15.63333333,490
6,7.1,3.516666667,15.13333333,467
7,7,3.016666667,14.63333333,456
8,7.5,2.516666667,14.13333333,458
9,8,2.016666667,13.63333333,489
10,8.8,1.516666667,13.13333333,553
11,9.5,1.016666667,12.63333333,682
12,9.8,0.516666667,12.13333333,905
13,10.2,0.016666667,11.63333333,1040
14,10.5,-0.483333333,11.13333333,1073
15,10.4,-0.983333333,10.63333333,1062
16,10.6,-1.483333333,10.13333333,949
17,10.6,-1.983333333,9.63333333,886
18,11.7,-2.483333333,9.13333333,858
19,12.8,-2.983333333,8.63333333,874
20,13.3,-3.483333333,8.13333333,867
21,13.8,-3.983333333,7.63333333,846
22,14.4,-4.483333333,7.13333333,878
23,15.1,-4.983333333,6.63333333,950
24,15.7,-5.483333333,6.13333333,900
25,16.3,-5.983333333,5.63333333,872
26,16,-6.483333333,5.13333333,819
27,15.6,-6.983333333,4.63333333,813
28,15.6,-7.483333333,4.13333333,816
29,15.6,-7.983333333,3.63333333,776
30,15.5,-8.483333333,3.13333333,823
31,15.4,-8.983333333,2.63333333,1032
32,15,-9.483333333,2.13333333,1177
33,14.5,-9.983333333,1.63333333,1292
34,14.5,-10.48333333,1.13333333,1439
35,14.4,-10.98333333,0.63333333,1609
36,14.2,-11.48333333,0.13333333,1806
37,13.8,-11.98333333,-0.36666667,1849
38,13.4,-12.48333333,-0.86666667,1841
39,12.8,-12.98333333,-1.36666667,1745
40,12.9,-13.48333333,-1.86666667,1689
41,12.8,-13.98333333,-2.36666667,1569
42,12.9,-14.48333333,-2.86666667,1502
43,12.9,-14.98333333,-3.36666667,1407
44,12.4,-15.48333333,-3.86666667,1242
45,11.7,-15.98333333,-4.36666667,1083
46,11.2,-16.48333333,-4.86666667,935
47,10.6,-16.98333333,-5.36666667,736
48,10.3,-17.48333333,-5.86666667,629
49,9.8,6.05,17.58333333,542
50,9.6,5.55,17.08333333,570
51,9.3,5.05,16.58333333,533
52,9,4.55,16.08333333,516
53,8.8,4.05,15.58333333,501
54,8.6,3.55,15.08333333,476
55,8.5,3.05,14.58333333,458
56,8.3,2.55,14.08333333,453
57,8,2.05,13.58333333,474
58,7.9,1.55,13.08333333,515
59,7.8,1.05,12.58333333,584
60,8.1,0.55,12.08333333,683
61,8.4,0.05,11.58333333,768
62,8.9,-0.45,11.08333333,882
63,9.3,-0.95,10.58333333,985
64,10,-1.45,10.08333333,1055
65,10.7,-1.95,9.58333333,1128
66,11.4,-2.45,9.08333333,1140
67,12,-2.95,8.58333333,1129
68,13.1,-3.45,8.08333333,1102
69,14.1,-3.95,7.58333333,1102
70,13.3,-4.45,7.08333333,1161
71,12.5,-4.95,6.58333333,1204
72,13.1,-5.45,6.08333333,1214
73,13.7,-5.95,5.58333333,1163
74,13.8,-6.45,5.08333333,1129
75,13.8,-6.95,4.58333333,1089
76,15.1,-7.45,4.08333333,1103
77,16.3,-7.95,3.58333333,1066
78,16.1,-8.45,3.08333333,1087
79,15.9,-8.95,2.58333333,1117
80,15.7,-9.45,2.08333333,1169
81,15.5,-9.95,1.58333333,1290
82,14.8,-10.45,1.08333333,1420
83,14.1,-10.95,0.58333333,1571
84,13.9,-11.45,0.08333333,1744
85,13.7,-11.95,-0.41666667,1876
86,13.1,-12.45,-0.91666667,1824
87,12.5,-12.95,-1.41666667,1712
88,12.5,-13.45,-1.91666667,1656
89,12.4,-13.95,-2.41666667,1567
90,12.7,-14.45,-2.91666667,1484
91,13,-14.95,-3.41666667,1416
92,13.1,-15.45,-3.91666667,1271
93,13.1,-15.95,-4.41666667,1152
94,13.2,-16.45,-4.91666667,994
95,13.2,-16.95,-5.41666667,824
96,12.6,-17.45,-5.91666667,688
97,12.2,6.083333333,17.55,585
98,11.8,5.583333333,17.05,613
99,11.4,5.083333333,16.55,574
100,11.1,4.583333333,16.05,548
101,10.8,4.083333333,15.55,534
102,10,3.583333333,15.05,479
103,9.1,3.083333333,14.55,466
104,8.7,2.583333333,14.05,459
105,8.3,2.083333333,13.55,467
106,8.1,1.583333333,13.05,489
107,7.8,1.083333333,12.55,534
108,7.6,0.583333333,12.05,631
109,7.3,0.083333333,11.55,722
110,7.8,-0.416666667,11.05,784
111,8.3,-0.916666667,10.55,932
112,9.6,-1.416666667,10.05,1011
113,11,-1.916666667,9.55,1169
114,11.6,-2.416666667,9.05,1267
115,12.2,-2.916666667,8.55,1338
116,12.6,-3.416666667,8.05,1393
117,12.8,-3.916666667,7.55,1413
118,13.3,-4.416666667,7.05,1499
119,13.8,-4.916666667,6.55,1544
120,14.3,-5.416666667,6.05,1575
121,14.9,-5.916666667,5.55,1534
122,14.3,-6.416666667,5.05,1449
123,13.6,-6.916666667,4.55,1418
124,13.9,-7.416666667,4.05,1405
125,14.1,-7.916666667,3.55,1351
126,14.4,-8.416666667,3.05,1399
127,14.6,-8.916666667,2.55,1458
128,14.6,-9.416666667,2.05,1543
129,14.6,-9.916666667,1.55,1638
130,14.6,-10.41666667,1.05,1744
131,14.6,-10.91666667,0.55,1872
132,14.7,-11.41666667,0.05,2027
133,14.6,-11.91666667,-0.45,2056
134,14.9,-12.41666667,-0.95,1990
135,15.1,-12.91666667,-1.45,1909
136,15.5,-13.41666667,-1.95,1770
137,15.8,-13.91666667,-2.45,1684
138,15.8,-14.41666667,-2.95,1597
139,15.8,-14.91666667,-3.45,1502
140,15.4,-15.41666667,-3.95,1301
141,15,-15.91666667,-4.45,1075
142,14.9,-16.41666667,-4.95,869
143,14.6,-16.91666667,-5.45,686
144,15.2,-17.41666667,-5.95,583
145,15.1,6.1,17.51666667,506
146,14.8,5.6,17.01666667,542
147,14.5,5.1,16.51666667,520
148,14.5,4.6,16.01666667,515
149,14.4,4.1,15.51666667,500
150,14.5,3.6,15.01666667,457
151,14.6,3.1,14.51666667,456
152,14.8,2.6,14.01666667,457
153,14.8,2.1,13.51666667,490
154,14.9,1.6,13.01666667,541
155,14.9,1.1,12.51666667,689
156,15.1,0.6,12.01666667,933
